LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.49315026302345916
Amygdala;DICE;STD;0.04888460307323288
Amygdala;HDRFDST;MEAN;12.085565284566055
Amygdala;HDRFDST;STD;1.2802779981284345
Amygdala;JACRD;MEAN;0.32867294977349143
Amygdala;JACRD;STD;0.04321133278370428
Amygdala;PRCISON;MEAN;0.3371359767124172
Amygdala;PRCISON;STD;0.04085164966120778
Amygdala;SNSVTY;MEAN;0.9245336521802544
Amygdala;SNSVTY;STD;0.055351796662150905
GreyMatter;DICE;MEAN;0.697479826364347
GreyMatter;DICE;STD;0.009064256520846872
GreyMatter;HDRFDST;MEAN;2.8324222867058095
GreyMatter;HDRFDST;STD;0.47684797343832236
GreyMatter;JACRD;MEAN;0.5355593722086759
GreyMatter;JACRD;STD;0.010708265465397432
GreyMatter;PRCISON;MEAN;0.5440398867666894
GreyMatter;PRCISON;STD;0.011490605587578421
GreyMatter;SNSVTY;MEAN;0.9719095525221173
GreyMatter;SNSVTY;STD;0.010744505461385712
Hippocampus;DICE;MEAN;0.48415411525170776
Hippocampus;DICE;STD;0.0219580898974545
Hippocampus;HDRFDST;MEAN;12.150111282431242
Hippocampus;HDRFDST;STD;0.8513494138936403
Hippocampus;JACRD;MEAN;0.31967243414450375
Hippocampus;JACRD;STD;0.01913181940068729
Hippocampus;PRCISON;MEAN;0.32191513547202366
Hippocampus;PRCISON;STD;0.019501177656634977
Hippocampus;SNSVTY;MEAN;0.9791716376124832
Hippocampus;SNSVTY;STD;0.017152757481121002
Thalamus;DICE;MEAN;0.6982352529015519
Thalamus;DICE;STD;0.02864465046821376
Thalamus;HDRFDST;MEAN;6.5838037778020135
Thalamus;HDRFDST;STD;1.517737729451281
Thalamus;JACRD;MEAN;0.5371283992494157
Thalamus;JACRD;STD;0.034208739466941966
Thalamus;PRCISON;MEAN;0.5408027848043927
Thalamus;PRCISON;STD;0.03523927846111535
Thalamus;SNSVTY;MEAN;0.987810572494633
Thalamus;SNSVTY;STD;0.005360409377621467
WhiteMatter;DICE;MEAN;0.824973395354105
WhiteMatter;DICE;STD;0.017758258272099866
WhiteMatter;HDRFDST;MEAN;2.7413504737315586
WhiteMatter;HDRFDST;STD;0.43011345034974047
WhiteMatter;JACRD;MEAN;0.702474478065075
WhiteMatter;JACRD;STD;0.025502137060871663
WhiteMatter;PRCISON;MEAN;0.7263380052141566
WhiteMatter;PRCISON;STD;0.032122958662174676
WhiteMatter;SNSVTY;MEAN;0.9562364705970994
WhiteMatter;SNSVTY;STD;0.01140092849998273
