LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4997643639071828
Amygdala;DICE;STD;0.047978173880948605
Amygdala;HDRFDST;MEAN;11.854383522044444
Amygdala;HDRFDST;STD;1.3128561658769788
Amygdala;JACRD;MEAN;0.3344890968209883
Amygdala;JACRD;STD;0.042726035766289826
Amygdala;PRCISON;MEAN;0.3433409162678173
Amygdala;PRCISON;STD;0.04039911945471016
Amygdala;SNSVTY;MEAN;0.9243042787869259
Amygdala;SNSVTY;STD;0.055208578966781406
GreyMatter;DICE;MEAN;0.6972966070950305
GreyMatter;DICE;STD;0.007864670489551567
GreyMatter;HDRFDST;MEAN;2.806604615433807
GreyMatter;HDRFDST;STD;0.41589726210406
GreyMatter;JACRD;MEAN;0.535324831353394
GreyMatter;JACRD;STD;0.009265250687238758
GreyMatter;PRCISON;MEAN;0.5442405586378539
GreyMatter;PRCISON;STD;0.00932941249255512
GreyMatter;SNSVTY;MEAN;0.9704242402369955
GreyMatter;SNSVTY;STD;0.011352265454128133
Hippocampus;DICE;MEAN;0.48459680638056185
Hippocampus;DICE;STD;0.01765201850960064
Hippocampus;HDRFDST;MEAN;11.766987113262925
Hippocampus;HDRFDST;STD;0.9423450940627952
Hippocampus;JACRD;MEAN;0.31995988089741395
Hippocampus;JACRD;STD;0.015377402985033626
Hippocampus;PRCISON;MEAN;0.3222776682960719
Hippocampus;PRCISON;STD;0.01572542749896554
Hippocampus;SNSVTY;MEAN;0.9785121521871275
Hippocampus;SNSVTY;STD;0.017368495696329218
Thalamus;DICE;MEAN;0.7034990820608977
Thalamus;DICE;STD;0.02657236614447841
Thalamus;HDRFDST;MEAN;6.436004030859353
Thalamus;HDRFDST;STD;1.0852889545011315
Thalamus;JACRD;MEAN;0.5432723033023766
Thalamus;JACRD;STD;0.03214524735544306
Thalamus;PRCISON;MEAN;0.5473962601467597
Thalamus;PRCISON;STD;0.03367927352441795
Thalamus;SNSVTY;MEAN;0.9867786359210605
Thalamus;SNSVTY;STD;0.0060303294161300446
WhiteMatter;DICE;MEAN;0.8227519316766513
WhiteMatter;DICE;STD;0.017401941404039157
WhiteMatter;HDRFDST;MEAN;3.0778450927609518
WhiteMatter;HDRFDST;STD;0.5261839839517457
WhiteMatter;JACRD;MEAN;0.6992439959361643
WhiteMatter;JACRD;STD;0.024812711995415564
WhiteMatter;PRCISON;MEAN;0.7214720721659202
WhiteMatter;PRCISON;STD;0.030159705750996385
WhiteMatter;SNSVTY;MEAN;0.9585166808090003
WhiteMatter;SNSVTY;STD;0.010045397828712282
