SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.29900271215692004
117122;Hippocampus;0.026350320861735343
117122;Thalamus;0.0
117122;WhiteMatter;0.7028362080891073
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.0
117122-PP;Hippocampus;0.0
117122-PP;Thalamus;0.0
117122-PP;WhiteMatter;0.34266795645598597
118528;Amygdala;0.0
118528;GreyMatter;0.2655628023127008
118528;Hippocampus;0.035494207542519106
118528;Thalamus;0.14517925493721412
118528;WhiteMatter;0.478769451322602
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.0
118528-PP;Hippocampus;0.0
118528-PP;Thalamus;0.0
118528-PP;WhiteMatter;0.3062257797383605
118730;Amygdala;0.0
118730;GreyMatter;0.34301141878615227
118730;Hippocampus;0.03297385973461697
118730;Thalamus;0.19812462678136247
118730;WhiteMatter;0.6201841521051087
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.0
118730-PP;Hippocampus;0.0
118730-PP;Thalamus;0.0
118730-PP;WhiteMatter;0.2831351749524708
118932;Amygdala;0.0
118932;GreyMatter;0.34072555662945775
118932;Hippocampus;0.028633392838701113
118932;Thalamus;0.12624362318506036
118932;WhiteMatter;0.7468311271834995
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.0
118932-PP;Hippocampus;0.0
118932-PP;Thalamus;0.0
118932-PP;WhiteMatter;0.3260885841510029
120111;Amygdala;0.0
120111;GreyMatter;0.3288896970691515
120111;Hippocampus;0.041233864513748074
120111;Thalamus;0.18813893241084031
120111;WhiteMatter;0.6912648824602952
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.0
120111-PP;Hippocampus;0.0
120111-PP;Thalamus;0.0
120111-PP;WhiteMatter;0.35669489463734355
122317;Amygdala;0.0
122317;GreyMatter;0.335882148932305
122317;Hippocampus;0.0343591718254791
122317;Thalamus;0.16506885016593978
122317;WhiteMatter;0.5912319532934189
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.0
122317-PP;Hippocampus;0.0
122317-PP;Thalamus;0.0
122317-PP;WhiteMatter;0.3385413400464062
122620;Amygdala;0.0
122620;GreyMatter;0.35516925215399336
122620;Hippocampus;0.03570128486874924
122620;Thalamus;0.198238042586582
122620;WhiteMatter;0.6948645893600022
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.0
122620-PP;Hippocampus;0.0
122620-PP;Thalamus;0.0
122620-PP;WhiteMatter;0.2910806693340182
123117;Amygdala;0.0
123117;GreyMatter;0.2999222377746673
123117;Hippocampus;0.02458843878896375
123117;Thalamus;0.00014038043096792306
123117;WhiteMatter;0.6817149134491336
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.0
123117-PP;Hippocampus;0.0
123117-PP;Thalamus;0.0
123117-PP;WhiteMatter;0.357460314907765
123925;Amygdala;0.0
123925;GreyMatter;0.3166204296035436
123925;Hippocampus;0.03744807356051113
123925;Thalamus;0.22982738028749902
123925;WhiteMatter;0.7290060407955137
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.0
123925-PP;Hippocampus;0.0
123925-PP;Thalamus;0.0
123925-PP;WhiteMatter;0.3442764058946034
124422;Amygdala;0.0
124422;GreyMatter;0.2847107204654173
124422;Hippocampus;0.024725081596786342
124422;Thalamus;0.0
124422;WhiteMatter;0.6909268706698525
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.0
124422-PP;Hippocampus;0.0
124422-PP;Thalamus;0.0
124422-PP;WhiteMatter;0.3044170449527704
