LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.05521172186201614
Amygdala;DICE;STD;0.007932414281208186
Amygdala;HDRFDST;MEAN;77.13780879216421
Amygdala;HDRFDST;STD;1.207664996393954
GreyMatter;DICE;MEAN;0.35404042540885894
GreyMatter;DICE;STD;0.021866817728994053
GreyMatter;HDRFDST;MEAN;7.369897764450085
GreyMatter;HDRFDST;STD;0.8570921429774241
Hippocampus;DICE;MEAN;0.1014988836826799
Hippocampus;DICE;STD;0.010239222957993226
Hippocampus;HDRFDST;MEAN;33.627744781667054
Hippocampus;HDRFDST;STD;1.1936418638203357
Thalamus;DICE;MEAN;0.1976179278281922
Thalamus;DICE;STD;0.014961388526120143
Thalamus;HDRFDST;MEAN;44.186943570935895
Thalamus;HDRFDST;STD;1.2704400257105977
WhiteMatter;DICE;MEAN;0.6691605687905474
WhiteMatter;DICE;STD;0.025054894465967304
WhiteMatter;HDRFDST;MEAN;8.255111989736356
WhiteMatter;HDRFDST;STD;0.39131322097657917
