LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4854843240465977
Amygdala;DICE;STD;0.04982488696599477
Amygdala;HDRFDST;MEAN;12.090094293420574
Amygdala;HDRFDST;STD;1.2163963072121269
Amygdala;JACRD;MEAN;0.3219879390218347
Amygdala;JACRD;STD;0.04361226319237355
Amygdala;PRCISON;MEAN;0.33044546891399856
Amygdala;PRCISON;STD;0.04056242414989015
Amygdala;SNSVTY;MEAN;0.9201785542670441
Amygdala;SNSVTY;STD;0.05844350362097938
GreyMatter;DICE;MEAN;0.694830591873816
GreyMatter;DICE;STD;0.009812942743849905
GreyMatter;HDRFDST;MEAN;2.9248590446948977
GreyMatter;HDRFDST;STD;0.4951763005904566
GreyMatter;JACRD;MEAN;0.53245470081274
GreyMatter;JACRD;STD;0.01151516672273808
GreyMatter;PRCISON;MEAN;0.5412200644165275
GreyMatter;PRCISON;STD;0.011414677726846586
GreyMatter;SNSVTY;MEAN;0.9705316317658745
GreyMatter;SNSVTY;STD;0.010018070919836586
Hippocampus;DICE;MEAN;0.4677325943832386
Hippocampus;DICE;STD;0.016033506897116936
Hippocampus;HDRFDST;MEAN;11.932433554959049
Hippocampus;HDRFDST;STD;0.9576165498190677
Hippocampus;JACRD;MEAN;0.30539820430366005
Hippocampus;JACRD;STD;0.013667521141423476
Hippocampus;PRCISON;MEAN;0.3072819488593202
Hippocampus;PRCISON;STD;0.013662738049222129
Hippocampus;SNSVTY;MEAN;0.9805524735616095
Hippocampus;SNSVTY;STD;0.017870582734733433
Thalamus;DICE;MEAN;0.6976124523976851
Thalamus;DICE;STD;0.02297523334818698
Thalamus;HDRFDST;MEAN;6.433266933400148
Thalamus;HDRFDST;STD;1.1675086995908248
Thalamus;JACRD;MEAN;0.5361260925585889
Thalamus;JACRD;STD;0.027491771277194512
Thalamus;PRCISON;MEAN;0.5396456237419246
Thalamus;PRCISON;STD;0.02801403523241118
Thalamus;SNSVTY;MEAN;0.9880859693483666
Thalamus;SNSVTY;STD;0.005012122028357054
WhiteMatter;DICE;MEAN;0.8218083995373793
WhiteMatter;DICE;STD;0.01776089041173844
WhiteMatter;HDRFDST;MEAN;3.1039734530090883
WhiteMatter;HDRFDST;STD;0.5615592604657484
WhiteMatter;JACRD;MEAN;0.6978994365569046
WhiteMatter;JACRD;STD;0.02538873456389571
WhiteMatter;PRCISON;MEAN;0.7199918770363947
WhiteMatter;PRCISON;STD;0.031005258067635988
WhiteMatter;SNSVTY;MEAN;0.9586401978140934
WhiteMatter;SNSVTY;STD;0.00970898584124666
