LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46750536640040685
Amygdala;DICE;STD;0.03522323459384368
Amygdala;HDRFDST;MEAN;11.89679025871834
Amygdala;HDRFDST;STD;1.210942418145643
Amygdala;JACRD;MEAN;0.3057457200501816
Amygdala;JACRD;STD;0.0297730815244255
Amygdala;PRCISON;MEAN;0.3131047508455637
Amygdala;PRCISON;STD;0.028315426180360835
Amygdala;SNSVTY;MEAN;0.9272667625050769
Amygdala;SNSVTY;STD;0.057811824351896746
GreyMatter;DICE;MEAN;0.6864501315383764
GreyMatter;DICE;STD;0.010881800190698671
GreyMatter;HDRFDST;MEAN;3.027783265836065
GreyMatter;HDRFDST;STD;0.5766528376095033
GreyMatter;JACRD;MEAN;0.5226963467984928
GreyMatter;JACRD;STD;0.012644126626838111
GreyMatter;PRCISON;MEAN;0.5354906205708632
GreyMatter;PRCISON;STD;0.016144970284232726
GreyMatter;SNSVTY;MEAN;0.9573924996732461
GreyMatter;SNSVTY;STD;0.022970644096377734
Hippocampus;DICE;MEAN;0.42168620872710677
Hippocampus;DICE;STD;0.026971715294090388
Hippocampus;HDRFDST;MEAN;12.732255911137864
Hippocampus;HDRFDST;STD;0.8886278260863281
Hippocampus;JACRD;MEAN;0.2675437763739339
Hippocampus;JACRD;STD;0.02157427149057281
Hippocampus;PRCISON;MEAN;0.26925564357712156
Hippocampus;PRCISON;STD;0.021191689978665135
Hippocampus;SNSVTY;MEAN;0.9757990636127698
Hippocampus;SNSVTY;STD;0.017742135223868374
Thalamus;DICE;MEAN;0.7031537844018927
Thalamus;DICE;STD;0.02642296010236232
Thalamus;HDRFDST;MEAN;5.951827990187166
Thalamus;HDRFDST;STD;0.8519058488029071
Thalamus;JACRD;MEAN;0.5428467770127098
Thalamus;JACRD;STD;0.031606643794008765
Thalamus;PRCISON;MEAN;0.548254207947297
Thalamus;PRCISON;STD;0.03407636815206535
Thalamus;SNSVTY;MEAN;0.9829679183038884
Thalamus;SNSVTY;STD;0.00833764437797868
WhiteMatter;DICE;MEAN;0.8070917115603612
WhiteMatter;DICE;STD;0.017256695585598492
WhiteMatter;HDRFDST;MEAN;4.05785806995352
WhiteMatter;HDRFDST;STD;0.5327174524202305
WhiteMatter;JACRD;MEAN;0.6769251544518021
WhiteMatter;JACRD;STD;0.024219893273224213
WhiteMatter;PRCISON;MEAN;0.704816568267338
WhiteMatter;PRCISON;STD;0.03886850134202927
WhiteMatter;SNSVTY;MEAN;0.9477074539919522
WhiteMatter;SNSVTY;STD;0.02742258321637378
