LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5024637892689601
Amygdala;DICE;STD;0.0485872492027048
Amygdala;HDRFDST;MEAN;11.710078379707316
Amygdala;HDRFDST;STD;1.2743878299447373
Amygdala;JACRD;MEAN;0.33693258215429367
Amygdala;JACRD;STD;0.04336749750940428
Amygdala;PRCISON;MEAN;0.3466274273944974
Amygdala;PRCISON;STD;0.04088045288212889
Amygdala;SNSVTY;MEAN;0.9189252343232974
Amygdala;SNSVTY;STD;0.055843496772446294
GreyMatter;DICE;MEAN;0.6961440618893642
GreyMatter;DICE;STD;0.007575650173365103
GreyMatter;HDRFDST;MEAN;2.8787327708392385
GreyMatter;HDRFDST;STD;0.4614083160241474
GreyMatter;JACRD;MEAN;0.5339635763635091
GreyMatter;JACRD;STD;0.008912627709213253
GreyMatter;PRCISON;MEAN;0.5425547634599067
GreyMatter;PRCISON;STD;0.009161183997026793
GreyMatter;SNSVTY;MEAN;0.9713343952901752
GreyMatter;SNSVTY;STD;0.011173794757888109
Hippocampus;DICE;MEAN;0.4681649127952383
Hippocampus;DICE;STD;0.01718805030437794
Hippocampus;HDRFDST;MEAN;12.235428824080461
Hippocampus;HDRFDST;STD;0.8026714713137737
Hippocampus;JACRD;MEAN;0.3057884701676639
Hippocampus;JACRD;STD;0.014697451824029
Hippocampus;PRCISON;MEAN;0.3077874059376081
Hippocampus;PRCISON;STD;0.015002578170166982
Hippocampus;SNSVTY;MEAN;0.9796568448492108
Hippocampus;SNSVTY;STD;0.01642397334603803
Thalamus;DICE;MEAN;0.7101161480786545
Thalamus;DICE;STD;0.025865410562161243
Thalamus;HDRFDST;MEAN;6.476817958848851
Thalamus;HDRFDST;STD;1.4145066729899165
Thalamus;JACRD;MEAN;0.5511595500425174
Thalamus;JACRD;STD;0.031541422465576625
Thalamus;PRCISON;MEAN;0.5559080203105837
Thalamus;PRCISON;STD;0.0334954758944742
Thalamus;SNSVTY;MEAN;0.9853078097773634
Thalamus;SNSVTY;STD;0.006587266618809892
WhiteMatter;DICE;MEAN;0.821117953066968
WhiteMatter;DICE;STD;0.01750456798943363
WhiteMatter;HDRFDST;MEAN;3.016954089206274
WhiteMatter;HDRFDST;STD;0.44495845156772007
WhiteMatter;JACRD;MEAN;0.696892277704821
WhiteMatter;JACRD;STD;0.02490289718194238
WhiteMatter;PRCISON;MEAN;0.7193641051226781
WhiteMatter;PRCISON;STD;0.030284192268237604
WhiteMatter;SNSVTY;MEAN;0.9578299169577565
WhiteMatter;SNSVTY;STD;0.010315685411418663
