SUBJECT;LABEL;DICE;HDRFDST;JACRD;PRCISON;SNSVTY
117122;Amygdala;0.4383858595964649;12.68857754044952;0.2807261078483716;0.29253365973072215;0.8742933155969405
117122;GreyMatter;0.6867175906746161;2.23606797749979;0.5229016895363534;0.5291244567288753;0.9780038715711831
117122;Hippocampus;0.4836192568804755;12.529964086141668;0.31892996470369683;0.32;0.9896241641687803
117122;Thalamus;0.7051402552373791;6.557438524302;0.5445688292415395;0.5499983708579063;0.9821948097288491
117122;WhiteMatter;0.8190512504486507;3.4641016151377544;0.6935535947345843;0.7135518362101769;0.9611597661477185
117122-PP;Amygdala;0.4515905348010748;12.84523257866513;0.2916480071652485;0.30539273153575613;0.8663119388094447
117122-PP;GreyMatter;0.6775385434187049;3.1622776601683795;0.5123314105276192;0.5178277902009212;0.9797028638181743
117122-PP;Hippocampus;0.4969942196531792;13.038404810405298;0.33066687177909393;0.3316361953251562;0.9912381830758589
117122-PP;Thalamus;0.7127964885625053;5.477225575051661;0.5537558608478966;0.5592013773922256;0.9827184917956476
117122-PP;WhiteMatter;0.8177818302476713;3.0;0.6917351223074114;0.7149085294912995;0.9552378331481197
118528;Amygdala;0.4178755264389331;13.601470508735444;0.2641230405205561;0.2763280041258381;0.8567316917173009
118528;GreyMatter;0.7033857037020619;3.0;0.5424787507822115;0.550198072861391;0.9747891181031706
118528;Hippocampus;0.49060040988791337;13.45362404707371;0.32503017299181974;0.3264089960272036;0.9871703492516037
118528;Thalamus;0.7016577822037373;6.164414002968976;0.540425915899657;0.5429901175617274;0.9913374531008607
118528;WhiteMatter;0.8187439007948943;3.1622776601683795;0.6931129509899217;0.7141059386048251;0.9593118988687173
118528-PP;Amygdala;0.43238419729050054;14.0;0.2758228110122128;0.2896739130434783;0.8522545570834665
118528-PP;GreyMatter;0.6928138757974549;3.0;0.5300040009375935;0.5368205075726565;0.9766023952385651
118528-PP;Hippocampus;0.4995491898297226;13.152946437965905;0.33293273357827147;0.33436788744051316;0.987272171876591
118528-PP;Thalamus;0.7091540678166818;5.385164807134504;0.5493715788507997;0.5520558048060967;0.9912271021849481
118528-PP;WhiteMatter;0.8168718124183791;3.0;0.6904339030989618;0.7141783178723518;0.9540582442206661
118730;Amygdala;0.5144730529345914;11.180339887498949;0.34632360856927547;0.3484241308350482;0.9828903146959975
118730;GreyMatter;0.7132013580947384;2.23606797749979;0.5542447239754288;0.5659869946050176;0.963918516215357
118730;Hippocampus;0.44022399492841674;11.357816691600547;0.2822353937341236;0.28524971759148327;0.9639097744360903
118730;Thalamus;0.6882511247611809;7.211102550927978;0.5246820773037649;0.5268438433715993;0.9922402558938515
118730;WhiteMatter;0.8061317618097672;3.0;0.6752267428035194;0.69226515088298;0.9648311452568111
118730-PP;Amygdala;0.5360824742268041;11.180339887498949;0.36619718309859156;0.368246716162193;0.9850290253589978
118730-PP;GreyMatter;0.7038688262835597;3.0;0.543053697462837;0.5532575242815461;0.9671535524261025
118730-PP;Hippocampus;0.44663758246435414;10.677078252031311;0.28752954070623693;0.29001278198086156;0.9710815500289185
118730-PP;Thalamus;0.6979001749854179;6.0;0.5359805458675967;0.5382366171839856;0.9922402558938515
118730-PP;WhiteMatter;0.8053296182631217;2.449489742783178;0.67410193688094;0.6944431592097349;0.9583569928371565
118932;Amygdala;0.4835924006908463;12.165525060596439;0.31890660592255127;0.3218390804597701;0.9722222222222222
118932;GreyMatter;0.7194738189117547;2.23606797749979;0.5618579530332721;0.5701534309769155;0.9747582161926069
118932;Hippocampus;0.4631438127090301;11.704699910719626;0.30135793871866295;0.3029401470073504;0.9829642248722317
118932;Thalamus;0.7123819884222387;7.0;0.5532556876470943;0.560425453878599;0.9773987206823028
118932;WhiteMatter;0.8249943204369683;3.605551275463989;0.7021194320897004;0.7256699785239867;0.9558198793132408
118932-PP;Amygdala;0.5116198704103672;12.409673645990857;0.3437427443696308;0.3462752894398316;0.9791666666666666
118932-PP;GreyMatter;0.7103326769613432;3.1622776601683795;0.5507875281260045;0.5578565578565579;0.9775107632791679
118932-PP;Hippocampus;0.4736468790920995;12.165525060596439;0.31031277926720285;0.3116943736311084;0.9859170925610449
118932-PP;Thalamus;0.7209398267292694;5.385164807134504;0.5636480924003194;0.5708552406433749;0.978091684434968
118932-PP;WhiteMatter;0.8226843891784086;2.8284271247461903;0.6987798187813862;0.7256396451667428;0.9496933671441973
120111;Amygdala;0.47068638604474783;8.94427190999916;0.30777623487403294;0.3291609207595205;0.8257051623203832
120111;GreyMatter;0.68963688284723;2.23606797749979;0.5262944857191275;0.5320349215944516;0.9799108084914818
120111;Hippocampus;0.4484794880466169;11.224972160321824;0.289058046343181;0.28966027084243423;0.9928587882976273
120111;Thalamus;0.6627601459274521;12.24744871391589;0.49561800294017866;0.49998573995379747;0.9826793721973094
120111;WhiteMatter;0.8492591695448979;2.449489742783178;0.7380108075325941;0.7686061146805376;0.9488231520260104
120111-PP;Amygdala;0.4849621123349738;9.055385138137417;0.32009899969062594;0.3432489218179808;0.8259712613092071
120111-PP;GreyMatter;0.6801913366105489;3.0;0.5153711711997128;0.5206261728205407;0.9807910671830316
120111-PP;Hippocampus;0.451063829787234;10.862780491200215;0.29120879120879123;0.2916315025486953;0.9950472241419028
120111-PP;Thalamus;0.6720294185244772;8.48528137423857;0.5060574593284873;0.5104154544396602;0.9834080717488789
120111-PP;WhiteMatter;0.8461859561570931;2.23606797749979;0.7333815710361576;0.768182674170554;0.9418209207744846
122317;Amygdala;0.5158763230269189;12.569805089976535;0.347596585804133;0.3561974910806767;0.9350453172205438
122317;GreyMatter;0.7065147850077925;2.23606797749979;0.5462101745106138;0.5563889641786086;0.9675921526291581
122317;Hippocampus;0.46138494103416994;11.874342087037917;0.29987028811760547;0.3014223627024891;0.9831185567010309
122317;Thalamus;0.7011142242783606;7.3484692283495345;0.5397812782181198;0.5411748927038627;0.9952518961583523
122317;WhiteMatter;0.836549691050255;3.1622776601683795;0.7190248561671829;0.7384080353120787;0.9647781509634081
122317-PP;Amygdala;0.5395914819643634;12.68857754044952;0.3694798238304964;0.3787675411836486;0.9377643504531722
122317-PP;GreyMatter;0.697569970356494;3.0;0.5355911292581522;0.5445093745767069;0.9703271765202285
122317-PP;Hippocampus;0.4767832690153118;11.661903789690601;0.31301078783916314;0.31429509272936157;0.9871134020618557
122317-PP;Thalamus;0.7132632323053812;6.164414002968976;0.5543194616124159;0.5557123679047193;0.995498550903373
122317-PP;WhiteMatter;0.835682401137204;2.449489742783178;0.7177443697092837;0.7398141297315035;0.9600956980089029
122620;Amygdala;0.5406294034758102;12.727922061357855;0.37045381396845833;0.37471513836136733;0.9702163529081202
122620;GreyMatter;0.7122970883622004;3.0;0.5531532793198752;0.5620818466239053;0.9720847915859877
122620;Hippocampus;0.47013687266694315;13.038404810405298;0.3073064931543988;0.31457711787969195;0.9300512820512821
122620;Thalamus;0.7163472241899249;6.164414002968976;0.5580537336024218;0.5630607699650015;0.9843150342065743
122620;WhiteMatter;0.8069112959060234;3.1622776601683795;0.6763212937455362;0.6926609923473428;0.966296076113423
122620-PP;Amygdala;0.5656961096158551;12.649110640673518;0.39440464005458886;0.39852907377614344;0.974431019949424
122620-PP;GreyMatter;0.703217936127408;3.1622776601683795;0.5422791968816888;0.5503098120265767;0.9737948831166011
122620-PP;Hippocampus;0.4814805051010993;13.038404810405298;0.3170723238776431;0.3240251215271618;0.9366153846153846
122620-PP;Thalamus;0.7246287888084427;5.385164807134504;0.5681708842490137;0.5730228044638525;0.985316202235942
122620-PP;WhiteMatter;0.8057268768710021;3.0;0.6746588039760923;0.6933493410766138;0.9615788478665418
123117;Amygdala;0.4868292682926829;12.083045973594572;0.3217279174725983;0.3278939875150586;0.9447775323445882
123117;GreyMatter;0.7075088881531192;3.0;0.5473994224549348;0.5553255292893398;0.9745885610919764
123117;Hippocampus;0.47424995989090324;12.206555615733702;0.31083070452155626;0.3124515538017053;0.9835847382431233
123117;Thalamus;0.6881047911257966;7.483314773547883;0.5245120086354232;0.5272787557270315;0.9900950871632329
123117;WhiteMatter;0.8415259780253335;4.58257569495584;0.7264090191603243;0.7552547292173688;0.9500480853039167
123117-PP;Amygdala;0.508822531387852;12.206555615733702;0.34122198202298326;0.3479521986309317;0.9463553171347429
123117-PP;GreyMatter;0.6997017205881745;3.0;0.5381086260489987;0.5445484517671705;0.9784956397310942
123117-PP;Hippocampus;0.4878557510223125;11.575836902790225;0.3226251406584631;0.32413114036687213;0.9858030168589175
123117-PP;Thalamus;0.6979137580278432;5.196152422706632;0.5359965688376938;0.5388358484755159;0.9902648856690062
123117-PP;WhiteMatter;0.8398490119162164;3.1622776601683795;0.7239135427565264;0.7560246063547604;0.94457948373424
123925;Amygdala;0.48658517224956344;11.40175425099138;0.32151473827756216;0.3323213704868264;0.9081481481481481
