LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5011864322382347
Amygdala;DICE;STD;0.04351604166234043
Amygdala;HDRFDST;MEAN;11.840755380701852
Amygdala;HDRFDST;STD;1.3025022128119812
Amygdala;JACRD;MEAN;0.335510568222504
Amygdala;JACRD;STD;0.038657679749166195
Amygdala;PRCISON;MEAN;0.3442384199352384
Amygdala;PRCISON;STD;0.03533268494750148
Amygdala;SNSVTY;MEAN;0.9251060002306138
Amygdala;SNSVTY;STD;0.05489228554953543
GreyMatter;DICE;MEAN;0.6965272912301212
GreyMatter;DICE;STD;0.013016420356187807
GreyMatter;HDRFDST;MEAN;2.756965441150183
GreyMatter;HDRFDST;STD;0.3861884984092292
GreyMatter;JACRD;MEAN;0.5345156937245722
GreyMatter;JACRD;STD;0.015314165338970006
GreyMatter;PRCISON;MEAN;0.542635130490509
GreyMatter;PRCISON;STD;0.015964637538575084
GreyMatter;SNSVTY;MEAN;0.9728752639740934
GreyMatter;SNSVTY;STD;0.007041053522398461
Hippocampus;DICE;MEAN;0.47069422253461946
Hippocampus;DICE;STD;0.016456126037780704
Hippocampus;HDRFDST;MEAN;12.026639008895543
Hippocampus;HDRFDST;STD;0.8717534913678291
Hippocampus;JACRD;MEAN;0.3079342963126407
Hippocampus;JACRD;STD;0.014067154426407847
Hippocampus;PRCISON;MEAN;0.30997787852062464
Hippocampus;PRCISON;STD;0.01421336487842356
Hippocampus;SNSVTY;MEAN;0.9793676813220518
Hippocampus;SNSVTY;STD;0.017053987355570087
Thalamus;DICE;MEAN;0.7108573220312033
Thalamus;DICE;STD;0.02444312862350774
Thalamus;HDRFDST;MEAN;6.481272957094842
Thalamus;HDRFDST;STD;1.6257616232495733
Thalamus;JACRD;MEAN;0.5519800901768759
Thalamus;JACRD;STD;0.029620679383670304
Thalamus;PRCISON;MEAN;0.5558821456245799
Thalamus;PRCISON;STD;0.030116664353532687
Thalamus;SNSVTY;MEAN;0.987523552322801
Thalamus;SNSVTY;STD;0.0052058080741306835
WhiteMatter;DICE;MEAN;0.8231447296591018
WhiteMatter;DICE;STD;0.016285215070397124
WhiteMatter;HDRFDST;MEAN;3.01334981623409
WhiteMatter;HDRFDST;STD;0.5193485197841373
WhiteMatter;JACRD;MEAN;0.6997695422394133
WhiteMatter;JACRD;STD;0.023504187644956136
WhiteMatter;PRCISON;MEAN;0.7224522638096249
WhiteMatter;PRCISON;STD;0.02890942850520314
WhiteMatter;SNSVTY;MEAN;0.9576965137649494
WhiteMatter;SNSVTY;STD;0.008604228450318092
