LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.37659181458065294
Amygdala;DICE;STD;0.03836617638188091
Amygdala;HDRFDST;MEAN;11.924795342011524
Amygdala;HDRFDST;STD;1.2038505102961194
Amygdala;JACRD;MEAN;0.23266929723878302
Amygdala;JACRD;STD;0.02934859475173889
Amygdala;PRCISON;MEAN;0.23681422316258285
Amygdala;PRCISON;STD;0.027978899382471736
Amygdala;SNSVTY;MEAN;0.925116741477364
Amygdala;SNSVTY;STD;0.05706671422984623
GreyMatter;DICE;MEAN;0.6198521897626419
GreyMatter;DICE;STD;0.049017455984051515
GreyMatter;HDRFDST;MEAN;4.467413817900161
GreyMatter;HDRFDST;STD;1.0450903212807532
GreyMatter;JACRD;MEAN;0.4508742460220104
GreyMatter;JACRD;STD;0.04940053254739625
GreyMatter;PRCISON;MEAN;0.47014708320445164
GreyMatter;PRCISON;STD;0.04919145185056841
GreyMatter;SNSVTY;MEAN;0.9170134011159645
GreyMatter;SNSVTY;STD;0.055743839828278456
Hippocampus;DICE;MEAN;0.32735975747162066
Hippocampus;DICE;STD;0.01916109852721816
Hippocampus;HDRFDST;MEAN;12.722416155999175
Hippocampus;HDRFDST;STD;0.8000794670350527
Hippocampus;JACRD;MEAN;0.19587046166238403
Hippocampus;JACRD;STD;0.013625519102566128
Hippocampus;PRCISON;MEAN;0.19685508783347355
Hippocampus;PRCISON;STD;0.013588276233471938
Hippocampus;SNSVTY;MEAN;0.975068525698347
Hippocampus;SNSVTY;STD;0.020199402551185516
Thalamus;DICE;MEAN;0.6759328465758905
Thalamus;DICE;STD;0.017029389201242945
Thalamus;HDRFDST;MEAN;6.4065686422072945
Thalamus;HDRFDST;STD;0.5530625938229676
Thalamus;JACRD;MEAN;0.5107482106909956
Thalamus;JACRD;STD;0.019501477942043606
Thalamus;PRCISON;MEAN;0.5143057233998569
Thalamus;PRCISON;STD;0.020083138363725054
Thalamus;SNSVTY;MEAN;0.986794191047492
Thalamus;SNSVTY;STD;0.006471389691711122
WhiteMatter;DICE;MEAN;0.7660169010756495
WhiteMatter;DICE;STD;0.038043669553884996
WhiteMatter;HDRFDST;MEAN;4.354269654195376
WhiteMatter;HDRFDST;STD;1.609452011882705
WhiteMatter;JACRD;MEAN;0.6222490458411891
WhiteMatter;JACRD;STD;0.04807441099930949
WhiteMatter;PRCISON;MEAN;0.6624223378442414
WhiteMatter;PRCISON;STD;0.062431319334411296
WhiteMatter;SNSVTY;MEAN;0.915963554005644
WhiteMatter;SNSVTY;STD;0.029037992421925805
