LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3813423060836437
Amygdala;DICE;STD;0.038717760153041056
Amygdala;HDRFDST;MEAN;11.879725120490303
Amygdala;HDRFDST;STD;1.1925313671311495
Amygdala;JACRD;MEAN;0.23629629174897349
Amygdala;JACRD;STD;0.029467610205251644
Amygdala;PRCISON;MEAN;0.24039548600195398
Amygdala;PRCISON;STD;0.027944594024580615
Amygdala;SNSVTY;MEAN;0.9271962691536612
Amygdala;SNSVTY;STD;0.0558641265995244
GreyMatter;DICE;MEAN;0.6223533429678527
GreyMatter;DICE;STD;0.04320207553299945
GreyMatter;HDRFDST;MEAN;4.383338941940787
GreyMatter;HDRFDST;STD;1.1341691761220758
GreyMatter;JACRD;MEAN;0.45311869623340806
GreyMatter;JACRD;STD;0.04362973175020601
GreyMatter;PRCISON;MEAN;0.47516933578749826
GreyMatter;PRCISON;STD;0.045557239937268394
GreyMatter;SNSVTY;MEAN;0.911199036632263
GreyMatter;SNSVTY;STD;0.06004432980400434
Hippocampus;DICE;MEAN;0.3332578303147814
Hippocampus;DICE;STD;0.017737064883811573
Hippocampus;HDRFDST;MEAN;12.632986416701348
Hippocampus;HDRFDST;STD;0.779521773550431
Hippocampus;JACRD;MEAN;0.2000811758992668
Hippocampus;JACRD;STD;0.012737153926347477
Hippocampus;PRCISON;MEAN;0.201082395455659
Hippocampus;PRCISON;STD;0.012662426326015446
Hippocampus;SNSVTY;MEAN;0.9756209847219981
Hippocampus;SNSVTY;STD;0.01986315845340025
Thalamus;DICE;MEAN;0.669502073623397
Thalamus;DICE;STD;0.016845330245533502
Thalamus;HDRFDST;MEAN;6.9289342013966975
Thalamus;HDRFDST;STD;0.5383965385430269
Thalamus;JACRD;MEAN;0.5034379045738132
Thalamus;JACRD;STD;0.019057773337199217
Thalamus;PRCISON;MEAN;0.5069567337076716
Thalamus;PRCISON;STD;0.019604521199359196
Thalamus;SNSVTY;MEAN;0.986545373170481
Thalamus;SNSVTY;STD;0.006248677080898245
WhiteMatter;DICE;MEAN;0.7644265023590423
WhiteMatter;DICE;STD;0.03389630997025121
WhiteMatter;HDRFDST;MEAN;3.9857670789017354
WhiteMatter;HDRFDST;STD;1.10166274001762
WhiteMatter;JACRD;MEAN;0.6198601742322708
WhiteMatter;JACRD;STD;0.04298125698700937
WhiteMatter;PRCISON;MEAN;0.6604762701336068
WhiteMatter;PRCISON;STD;0.05811499248017241
WhiteMatter;SNSVTY;MEAN;0.9147749268075849
WhiteMatter;SNSVTY;STD;0.03215286501306988
