LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4526077155302679
Amygdala;DICE;STD;0.07879545971226941
Amygdala;HDRFDST;MEAN;12.247354714898126
Amygdala;HDRFDST;STD;1.3792398223161226
Amygdala;JACRD;MEAN;0.2958132164995138
Amygdala;JACRD;STD;0.06526761488934138
Amygdala;PRCISON;MEAN;0.3051488513498661
Amygdala;PRCISON;STD;0.06802699742839019
Amygdala;SNSVTY;MEAN;0.9054530134603063
Amygdala;SNSVTY;STD;0.0835310218118676
GreyMatter;DICE;MEAN;0.6917576456232989
GreyMatter;DICE;STD;0.01898388888402041
GreyMatter;HDRFDST;MEAN;3.1123904323046565
GreyMatter;HDRFDST;STD;1.3831217577995185
GreyMatter;JACRD;MEAN;0.5290855446354601
GreyMatter;JACRD;STD;0.021835594547234723
GreyMatter;PRCISON;MEAN;0.5437161679220409
GreyMatter;PRCISON;STD;0.026354309876548767
GreyMatter;SNSVTY;MEAN;0.9543398464621875
GreyMatter;SNSVTY;STD;0.03901464515230714
Hippocampus;DICE;MEAN;0.3541086597357294
Hippocampus;DICE;STD;0.055407931149994455
Hippocampus;HDRFDST;MEAN;13.163067135980038
Hippocampus;HDRFDST;STD;2.2767660340233267
Hippocampus;JACRD;MEAN;0.21649482465103845
Hippocampus;JACRD;STD;0.040063334703424804
Hippocampus;PRCISON;MEAN;0.21881697465779465
Hippocampus;PRCISON;STD;0.039625387046704146
Hippocampus;SNSVTY;MEAN;0.9452542296554617
Hippocampus;SNSVTY;STD;0.04130073580412292
Thalamus;DICE;MEAN;0.6429319480015797
Thalamus;DICE;STD;0.07226883317093591
Thalamus;HDRFDST;MEAN;8.504789096365775
Thalamus;HDRFDST;STD;2.4937045587514626
Thalamus;JACRD;MEAN;0.47759784092964724
Thalamus;JACRD;STD;0.07208567837649255
Thalamus;PRCISON;MEAN;0.4910609052510687
Thalamus;PRCISON;STD;0.06458573903764328
Thalamus;SNSVTY;MEAN;0.9342005674315038
Thalamus;SNSVTY;STD;0.07573801997165051
WhiteMatter;DICE;MEAN;0.8107986570843361
WhiteMatter;DICE;STD;0.04190761585391621
WhiteMatter;HDRFDST;MEAN;3.4187469448845134
WhiteMatter;HDRFDST;STD;0.6420041486180664
WhiteMatter;JACRD;MEAN;0.6838146446827323
WhiteMatter;JACRD;STD;0.057155646255430584
WhiteMatter;PRCISON;MEAN;0.7177221961040968
WhiteMatter;PRCISON;STD;0.08185800773409083
WhiteMatter;SNSVTY;MEAN;0.9444728439303779
WhiteMatter;SNSVTY;STD;0.042075135072698694
